x,y
1.999999999999989120e+00,9.999999970372687175e-01
1.999999999999994671e+00,9.999999985481496934e-01
1.999999526324200749e+00,9.994880086444635214e-01
1.999998109040381777e+00,9.989760140317156534e-01
1.999992443703458189e+00,9.979520507179184818e-01
1.999983003945511317e+00,9.969281106051314234e-01
1.999961768245694271e+00,9.953923223772122020e-01
1.999932041460109611e+00,9.938566724354447324e-01
1.999888007294696290e+00,9.921506860523341409e-01
1.999831398050487596e+00,9.904450698668896269e-01
1.999753572945101698e+00,9.885695313403871642e-01
1.999658468831024161e+00,9.866947878856058285e-01
1.999533999305485699e+00,9.846508453720883569e-01
1.999386937146005794e+00,9.826084012945889290e-01
1.999172554609128571e+00,9.800578798590864338e-01
1.998925290696283108e+00,9.775103331447506649e-01
1.998624028648303241e+00,9.747969885782835631e-01
1.998282801382323060e+00,9.720883732287646239e-01
1.997827303188095982e+00,9.688788723793801960e-01
1.997318647728985708e+00,9.656773618294441919e-01
1.996664943703609696e+00,9.619815358783312398e-01
1.995943265338876005e+00,9.582983745696284084e-01
1.995114502017068192e+00,9.544633723733526587e-01
1.994208197532381321e+00,9.506459350380481732e-01
1.993178396179714262e+00,9.466837416162232621e-01
1.992061264437653412e+00,9.427452616747187264e-01
1.990702963748557375e+00,9.383450561261557077e-01
1.989239702578314839e+00,9.339786252472376260e-01
1.987496813769507042e+00,9.291681994494644936e-01
1.985636343396461445e+00,9.244020123266954991e-01
1.983461826957193308e+00,9.192112611383088661e-01
1.981160541142508391e+00,9.140754589014719045e-01
1.978511775065093348e+00,9.085373043556577155e-01
1.975724521948267753e+00,9.030675481882359801e-01
1.972802137592780669e+00,8.976686364156448716e-01
1.969748127333452947e+00,8.923430976771455914e-01
1.966430156020389175e+00,8.868767008290262543e-01
1.962975723546583229e+00,8.814955047098121943e-01
1.959581166362987625e+00,8.764826427787398844e-01
1.956067596353443738e+00,8.715524358796624682e-01
1.952576001573065323e+00,8.668872104260875178e-01
1.948979367895475656e+00,8.623024702459733959e-01
1.945607779605836862e+00,8.581922723478381254e-01
1.942151140995507896e+00,8.541533330884937270e-01
1.938726719779039875e+00,8.503123572044606338e-01
1.935227515217001093e+00,8.465394027916139930e-01
1.932012895872234903e+00,8.432009165108512727e-01
1.928739345065268784e+00,8.399202001678813811e-01
1.925531385732935252e+00,8.368158144446070645e-01
1.922270539967416036e+00,8.337670504800875904e-01
1.919339750550560053e+00,8.311149287723396117e-01
1.916368596375847222e+00,8.285081203925431792e-01
1.913489133019788069e+00,8.260559174513072422e-01
1.910575329939404821e+00,8.236446406264480435e-01
1.907761361827038815e+00,8.213807589017348976e-01
1.904917070258632217e+00,8.191551108479275811e-01
1.902179326657952751e+00,8.170705309775280201e-01
1.899414929399778407e+00,8.150214387788068393e-01
1.896763239557232028e+00,8.131071471336414058e-01
1.894088239865568513e+00,8.112255768116283239e-01
1.891531573455577320e+00,8.094726334182883454e-01
1.888954628521354095e+00,8.077496491298149506e-01
1.886787763697179265e+00,8.063343170911732027e-01
1.884607098500534317e+00,8.049403539498941607e-01
1.882557875657230539e+00,8.036577331976232363e-01
1.880496926730228946e+00,8.023940527651383103e-01
1.878571041868863256e+00,8.012366642698794950e-01
1.876635278865636636e+00,8.000958845866825708e-01
1.874542042043045864e+00,7.988864359390678294e-01
1.872438483888244853e+00,7.976950358339855995e-01
1.870773146990699853e+00,7.967686504043850482e-01
1.869101592574488935e+00,7.958535428054094307e-01
1.867274544464281982e+00,7.948671239925091392e-01
1.865442672000054980e+00,7.938896975248397325e-01
1.863757767944233645e+00,7.929993141232865028e-01
1.862070138506380923e+00,7.921141116744522259e-01
1.860531895341406727e+00,7.913114790361943651e-01
1.858992668044354035e+00,7.905107378283532382e-01
1.857604613045135133e+00,7.897891818737412528e-01
1.856217001694778546e+00,7.890667736515605268e-01
1.854981758313910989e+00,7.884212770506907608e-01
1.853748104330884550e+00,7.877727467999277033e-01
1.852667446989972211e+00,7.871999779068051817e-01
1.851589261697944577e+00,7.866225664816313135e-01
1.850664139223015647e+00,7.861208923427064343e-01
1.849742114754659772e+00,7.856135433707429616e-01
1.848674792407509537e+00,7.850163811363328747e-01
1.847612268586535489e+00,7.844107111986481362e-01
1.846702700594640811e+00,7.838814403159916067e-01
1.845798375880253417e+00,7.833432526679595664e-01
1.845045606425404383e+00,7.828842291371710393e-01
1.844298242971209367e+00,7.824164483425588568e-01
1.843700341494481476e+00,7.820316531998934284e-01
1.843107691736586951e+00,7.816388101913245290e-01
1.842379952663551368e+00,7.811411522969590182e-01
1.841659935616495325e+00,7.806323720080546869e-01
1.840535177508567211e+00,7.798098175668563004e-01
1.839424727796873160e+00,7.789680350782025586e-01
1.837926028357792063e+00,7.777915500820350436e-01
1.836447043574783278e+00,7.765903680642667339e-01
1.834596337193839410e+00,7.750356443274486473e-01
1.832771662138940272e+00,7.734504353745633720e-01
1.830592162303812831e+00,7.714938164447430191e-01
1.828444182315074107e+00,7.695026385236887201e-01
1.825958567766903462e+00,7.671235547583655778e-01
1.823511256243987466e+00,7.647050814992386591e-01
1.820743774678040161e+00,7.618831905925297354e-01
1.818019942586384330e+00,7.590191453123963372e-01
1.814993515686773362e+00,7.557374849956667306e-01
1.812017823981455944e+00,7.524097572113426224e-01
1.808758429339917484e+00,7.486501841675522462e-01
1.805557135594033635e+00,7.448410420521007769e-01
1.802092964490068505e+00,7.405855980722664267e-01
1.798697150253103727e+00,7.362754055241980122e-01
1.795062003849194676e+00,7.315037753295621226e-01
1.791506432777292712e+00,7.266725677392791294e-01
1.787802645325837103e+00,7.214578510820903734e-01
1.784189008502037099e+00,7.161802667172422199e-01
1.780851105019867653e+00,7.111277793804706704e-01
1.777594234756508573e+00,7.060226466976564641e-01
1.774536845523595474e+00,7.010605934470673928e-01
1.771555951883936109e+00,6.960521985630101494e-01
1.768735652561404637e+00,6.911472638531698243e-01
1.765987916982384442e+00,6.862013097441947984e-01
1.763552298474634128e+00,6.816675411431293297e-01
1.761178131534508973e+00,6.771012779370751966e-01
1.758941080645330279e+00,6.726563442903390477e-01
